04,156
13,148
01,142
14,135
03,130
00,124
06,118
04,113
12,107
13,102
04,098
09,093
05,089
06,085
06,081
12,077
06,074
11,070
10,067
09,064
08,061
12,058
03,056
08,053
04,051
13,048
10,046
08,044
07,042
09,040
11,038
15,036
04,035
11,033
02,032
11,030
04,029
15,027
11,026
07,025
05,024
03,023
03,022
02,021
03,020
04,019
06,018
09,017
12,016
00,016
04,015
09,014
15,013
04,013
11,012
01,012
09,011
00,011
08,010
01,010
09,009
02,009
12,008
05,008
15,007
10,007
04,007
15,006
10,006
05,006
00,006
12,005
08,005
04,005
00,005
12,004
09,004
06,004
02,004
15,003
13,003
10,003
07,003
05,003
02,003
00,003
14,002
12,002
10,002
08,002
06,002
04,002
03,002
01,002
00,002
14,001
13,001
11,001
10,001
09,001
